********************************************************************************
Field Output Report, written Sun Apr 16 02:13:00 2023

Source 1
---------

   ODB: C:/Temp/YY_displacement.odb
   Step: Loading_step
   Frame: Increment      1: Step Time =    1.000

Loc 1 : Whole element values from source 1

Output sorted by column "Element Label".

Field Output reported for whole element for region: PART-1-1.Region_2

         Element            EVOL
           Label          @Loc 1
---------------------------------
            4721    1.61986E-003
            4722    1.22473E-003
            4723    1.01054E-003
            4724    8.67993E-004
            4725    8.68797E-004
            4726    9.34167E-004
            4727    1.04256E-003
            4728    1.08454E-003
            4729    1.34187E-003
            4730    1.34523E-003
            4731    1.91582E-003
            4732    1.69073E-003
            4733    1.91939E-003
            4734    1.88217E-003
            4735    2.26345E-003
            4736    1.91691E-003
            4737    1.66710E-003
            4738    1.34429E-003
            4739    1.10511E-003
            4740    9.17198E-004
            4741    1.89029E-003
            4742    1.34338E-003
            4743    1.04844E-003
            4744    8.65528E-004
            4745    8.78075E-004
            4746    1.01862E-003
            4747    1.22468E-003
            4748    1.59631E-003
            4749    8.12405E-004
            4750    7.61596E-004
            4751    7.72476E-004
            4752    7.42333E-004
            4753    6.95162E-004
            4754    7.04505E-004
            4755    7.04908E-004
            4756    6.59561E-004
            4757    6.72426E-004
            4758    9.03744E-004
            4759    8.43628E-004
            4760    8.25099E-004
            4761    8.05522E-004
            4762    7.52580E-004
            4763    7.42969E-004
            4764    7.50723E-004
            4765    7.00117E-004
            4766    6.98643E-004
            4767    7.33463E-004
            4768    6.83363E-004
            4769    6.71454E-004
            4770    7.54446E-004
            4771    7.03549E-004
            4772    7.02542E-004
            4773    8.21878E-004
            4774    7.70818E-004
            4775    7.70646E-004
            4776    7.73239E-004
            4777    7.55615E-004
            4778    8.06934E-004
            4779    7.06239E-004
            4780    6.88770E-004
            4781    7.35269E-004
            4782    6.72485E-004
            4783    6.56173E-004
            4784    7.00780E-004
            4785    1.02462E-003
            4786    8.87605E-004
            4787    7.88125E-004
            4788    6.73607E-004
            4789    5.72147E-004
            4790    1.04503E-003
            4791    8.95211E-004
            4792    7.68856E-004
            4793    6.59710E-004
            4794    5.63218E-004
            4795    1.08218E-003
            4796    8.95973E-004
            4797    7.44339E-004
            4798    6.18799E-004
            4799    5.44091E-004
            4800    1.25573E-003
            4801    8.84633E-004
            4802    6.93201E-004
            4803    5.72141E-004
            4804    5.07329E-004
            4805    4.88361E-004
            4806    5.42266E-004
            4807    6.13646E-004
            4808    7.17570E-004
            4809    9.73055E-004
            4810    1.11592E-003
            4811    9.34201E-004
            4812    9.90259E-004
            4813    1.05222E-003
            4814    1.27397E-003
            4815    1.26305E-003
            4816    1.36535E-003
            4817    1.27275E-003
            4818    1.20069E-003
            4819    1.15146E-003
            4820    1.48801E-003
            4821    1.25983E-003
            4822    1.17551E-003
            4823    1.11234E-003
            4824    1.70175E-003
            4825    1.36148E-003
            4826    1.09967E-003
            4827    9.16329E-004
            4828    1.91749E-003
            4829    1.34704E-003
            4830    1.04373E-003
            4831    8.57416E-004
            4832    8.72315E-004
            4833    1.01148E-003
            4834    1.22483E-003
            4835    1.61234E-003
            4836    1.60574E-003
            4837    1.22771E-003
            4838    1.01321E-003
            4839    8.68061E-004
            4840    8.67478E-004
            4841    9.13304E-004
            4842    1.04466E-003
            4843    1.08485E-003
            4844    1.34083E-003
            4845    1.34115E-003
            4846    1.89349E-003
            4847    1.68104E-003
            4848    1.91621E-003
            4849    1.88476E-003
            4850    2.26333E-003
            4851    1.92457E-003
            4852    4.38473E-004
            4853    4.44935E-004
            4854    4.86764E-004
            4855    5.02396E-004
            4856    5.08231E-004
            4857    3.96577E-004
            4858    4.00390E-004
            4859    4.38379E-004
            4860    4.58597E-004
            4861    4.70675E-004
            4862    3.69883E-004
            4863    3.87579E-004
            4864    4.14470E-004
            4865    4.30249E-004
            4866    4.46913E-004
            4867    8.30287E-004
            4868    8.40345E-004
            4869    9.01482E-004
            4870    7.46697E-004
            4871    7.46921E-004
            4872    8.02711E-004
            4873    6.95504E-004
            4874    6.98447E-004
            4875    7.49799E-004
            4876    6.76827E-004
            4877    6.84122E-004
            4878    7.34325E-004
            4879    7.01845E-004
            4880    7.04487E-004
            4881    7.60285E-004
            4882    7.66935E-004
            4883    7.67597E-004
            4884    8.15941E-004
            4885    5.07571E-004
            4886    5.05355E-004
            4887    4.88389E-004
            4888    4.46606E-004
            4889    4.32058E-004
            4890    4.66484E-004
